Ort;Plz;Bundesland;lat;lng;km
Alt Schwerin;17214;Mecklenburg-Vorpommern;53,5334755;12,4241867;157
Alt Stahnsdorf;15859;Brandenburg;52,24406;13,9179683;297
Alt Tellin;17129;Mecklenburg-Vorpommern;53,9180421;13,2417747;214
Alt Tucheband;15328;Brandenburg;52,5513298;14,5533344;321
Alt Zachun;19230;Mecklenburg-Vorpommern;53,40188;11,2495709;81
Alt Zauche;15913;Brandenburg;51,912884;14,1237623;329
Altbach;73776;Baden-Württemberg;48,7273427;9,3816444;538
Altbarnim;15320;Brandenburg;52,5959574;14,2363719;299
Altbrand;76726;Rheinland-Pfalz;49,209194;8,3742517;497
Altbrandsleben;39387;Sachsen-Anhalt;52,0181945;11,2196086;188
Altdöbern;3229;Brandenburg;51,6496754;14,0256;342
Altdorf;67482;Rheinland-Pfalz;49,2856935;8,2115322;491
Altdorf;71155;Baden-Württemberg;48,6033543;9,0050434;555
Altdorf;72655;Baden-Württemberg;48,5945556;9,2734854;554
Altdorf;84032;Bayern;48,5536867;12,1051128;574
Altdorf;90518;Bayern;49,3860138;11,376417;472
Altefähr;18573;Mecklenburg-Vorpommern;54,3552054;13,2899712;230
Alteglofsheim;93087;Bayern;48,9208022;12,2044415;536
Altena;58762;Nordrhein-Westfalen;51,2752109;7,658575;300
Altenahr;53505;Rheinland-Pfalz;50,5482946;6,9949264;394
Altenau;4931;Brandenburg;51,4344034;13,221322;319
Altenau;38707;Niedersachsen;51,8214467;10,4581076;194
Altenbach;4828;Sachsen;51,364395;12,6883075;302
Altenbamberg;55585;Rheinland-Pfalz;49,7874486;7,8320124;445
Altenbeken;33184;Nordrhein-Westfalen;51,745145;8,9397119;214
Altenberg;1773;Sachsen;50,7766262;13,7364624;398
Altenberga;7768;Thüringen;50,8001196;11,583762;323
Altenberge;48341;Nordrhein-Westfalen;52,0281781;7,4827786;242
Altenbeuthen;7338;Thüringen;50,5813868;11,4786304;344
Altenbrak;38889;Sachsen-Anhalt;51,7868484;10,950987;205
Altenbuch;97901;Bayern;49,8282042;9,3930519;416
Altenburg;4600;Thüringen;50,9888921;12,429075;328
Altendambach;98553;Thüringen;50,5367454;10,7450312;339
Altendiez;65624;Rheinland-Pfalz;50,3705857;7,9835401;381
Altendorf;1855;Sachsen;50,9730657;14,2730156;406
Altendorf;92540;Bayern;49,420116;12,2907917;485
Altendorf;96146;Bayern;49,799175;11,0025731;422
Altenfeld;98701;Thüringen;50,5921286;11,0464115;336
Altengesees;7356;Thüringen;50,4415546;11,6181353;362
Altenglan;66885;Rheinland-Pfalz;49,5498958;7,4586288;479
Altengottern;99991;Thüringen;51,1522223;10,5744339;269
Altenhagen;17091;Mecklenburg-Vorpommern;53,6518606;13,1241434;203
Altenhagen;18236;Mecklenburg-Vorpommern;54,0631588;11,7968001;128
Altenhausen;39343;Sachsen-Anhalt;52,2248602;11,3045259;170
Altenhof;16244;Brandenburg;52,8499191;13,6828706;254
Altenhof;17209;Mecklenburg-Vorpommern;53,3246846;12,4535308;161
Altenhof;24340;Schlewig-Holstein;54,4407797;9,8227146;100
Altenhof;54636;Rheinland-Pfalz;49,9978924;6,4962668;464
Altenhof;54655;Rheinland-Pfalz;50,0575539;6,6013778;455
Altenhof;67677;Rheinland-Pfalz;49,4931066;7,8988499;475
Altenholz;24161;Schlewig-Holstein;54,3943283;10,1154382;94
Altenholz;24161;Schlewig-Holstein;54,3943283;10,1154382;94
Altenkirchen;18556;Mecklenburg-Vorpommern;54,6439306;13,3453917;247
Altenkirchen;57610;Rheinland-Pfalz;50,6824377;7,6625802;358
Altenkirchen;66903;Rheinland-Pfalz;49,4421078;7,3197502;494
Altenkrempe;23730;Schlewig-Holstein;54,133637;10,8225089;82
Altenkunstadt;96264;Bayern;50,1280392;11,2395567;389
Altenmarkt;83352;Bayern;48,0078156;12,4879687;640
Altenmedingen;29575;Niedersachsen;53,1317523;10,5982234;59
Altenmoor;25335;Schlewig-Holstein;53,7543421;9,6058803;37
Altenmünster;86450;Bayern;48,4650198;10,5626516;567
Altenpleen;18445;Mecklenburg-Vorpommern;54,3712247;13,0231983;215
Altenriet;72657;Baden-Württemberg;48,5946641;9,2095719;554
Altenroda;6642;Sachsen-Anhalt;51,2518124;11,5289227;275
Altensalzwedel;29416;Sachsen-Anhalt;52,7964329;11,3337223;120
Altenstadt;63674;Hessen;50,2830501;8,9482265;371
Altenstadt;86972;Bayern;47,8281354;10,8715572;639
Altenstadt;89281;Bayern;48,1598956;10,1140711;599
Altenstadt;92665;Bayern;49,7144555;12,1560627;451
Altensteig;72213;Baden-Württemberg;48,5908276;8,5762829;561
Altenthann;93177;Bayern;49,0921807;12,304555;520
Altentreptow;17087;Mecklenburg-Vorpommern;53,6893394;13,2437058;211
Altenweddingen;39171;Sachsen-Anhalt;52,0318262;11,5199131;196
Altenzaun;39596;Sachsen-Anhalt;52,727602;11,9501613;156
Alterkülz;56288;Rheinland-Pfalz;50,0713228;7,4451128;426
Alterode;6543;Sachsen-Anhalt;51,6349755;11,3110076;229
Altersbach;98587;Thüringen;50,7073073;10,6013094;318
Altertheim;97237;Bayern;49,7267252;9,7450196;426
Altes Forsthaus;56130;Rheinland-Pfalz;50,3505119;7,7227544;390
Altes Lager;14913;Brandenburg;51,9506638;13,0987394;272
Altfraunhofen;84169;Bayern;48,4487215;12,1677502;586
Altfriedland;15320;Brandenburg;52,5959574;14,2363719;299
Altfriesack;16818;Brandenburg;52,9032564;12,7248597;192
Alt-Galow;16278;Brandenburg;53,0425866;13,9842648;268
Altgersdorf;16259;Brandenburg;52,798072;14,015775;277
Altglietzen;16259;Brandenburg;52,798072;14,015775;277
Althegnenberg;82278;Bayern;48,2357426;11,0665452;595
Altheim;88499;Baden-Württemberg;48,1491523;9,4598124;602
Altheim;89174;Baden-Württemberg;48,5816993;10,0249855;553
Altheim;89605;Baden-Württemberg;48,3289402;9,7696271;581
Altheimersberg;91788;Bayern;48,9417496;10,9965744;517
Althengstett;75382;Baden-Württemberg;48,731178;8,7906982;543
